URL,Price,Rooms,Baths,Area,Lat,Lon,Floor,Finishing,Governate,Neighbourhood
https://aqarmap.com.eg/ar/listing/6231420-for-sale-cairo-new-administrative-capital-r7-kmbwnd-bwtnyk-nyw-jynyryshn-llttwyr/,5758180,2,2,142,29.958194,31.731016,7,نصف تشطيب,القاهرة الكبرى,كمبوند بوتانيكا 
https://aqarmap.com.eg/ar/listing/6320536-for-sale-cairo-6th-of-october-hadaeq-october-golden-square/,3125500,3,3,133,29.920113,31.071836,3,نصف تشطيب,القاهرة الكبرى,  المربع الذهبي
https://aqarmap.com.eg/ar/listing/6079547-for-sale-cairo-el-sheikh-zayed-city-compounds-zyd-wr-llttwyr/,7750000,2,2,102,30.053331,31.000425,3,اكسترا سوبر لوكس,القاهرة الكبرى,  زد تاور 
https://aqarmap.com.eg/ar/listing/6234746-for-sale-red-sea-hurghada-resorts-long-beach-residence-eitc/,5613640,1,1,72,27.082082,33.851377,2,سوبر لوكس,البحر الأحمر,  لونج بيتش ريزيدنس 
https://aqarmap.com.eg/ar/listing/6326934-for-sale-cairo-6th-of-october-hadaeq-october-kmbwnd-fy-hdyq-ktwbr-sun-capital/,11500000,3,3,185,29.939155,31.088315,3,نصف تشطيب,القاهرة الكبرى,  كمبوند صن كابيتال 
https://aqarmap.com.eg/ar/listing/6058968-for-sale-cairo-new-cairo-compounds-kmbwnd-fyldj-jyt-blm-hylz/,7900000,1,1,88,30.015287,31.49481,0,سوبر لوكس,القاهرة الكبرى,كمبوند فيلدج جيت 
https://aqarmap.com.eg/ar/listing/6449477-for-sale-cairo-new-cairo-ganob-el-akadamiya-south-academy-d-hassan-ibn-thabet-st/,10000000,3,2,225,30.034311,31.434385,2,اكسترا سوبر لوكس,القاهرة الكبرى,شارع حسان بن ثابت
https://aqarmap.com.eg/ar/listing/6500558-for-sale-cairo-dokki-msdq/,7850000,4,3,195,30.043821,31.203672,10,سوبر لوكس,القاهرة الكبرى,  شارع مصدق
https://aqarmap.com.eg/ar/listing/6084179-for-sale-cairo-el-shorouk-compounds-palm-island-compound-tg/,6395400,3,3,167,30.119873,31.654111,1,بدون تشطيب,القاهرة الكبرى,  كمبوند بالم ايلاند 
https://aqarmap.com.eg/ar/listing/6382675-for-sale-cairo-6th-of-october-el-hay-el-motamyz-fourth-touristic-village-mahmoud-sami-el-baroudi-st/,6500000,3,3,270,29.99626,30.983945,3,سوبر لوكس,القاهرة الكبرى,  شارع محمود سامي البارودي
https://aqarmap.com.eg/ar/listing/6152169-for-sale-cairo-el-sheikh-zayed-city-compounds-el-khamayel/,7000000,3,2,166,30.034311,31.027891,2,سوبر لوكس,القاهرة الكبرى,  الخمائل
